,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
424062045,['4'],424062,BONITA AVE,045,UNIVERSITY AVE,NORTH END,7560,2022-07-27,81,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,210,36,Overlay of asphalt over asphalt
424062050,['4'],424062,BONITA AVE,050,BERKELEY WAY,NORTH OF HEARST,17100,2022-07-27,87,,,,,,Residential/Local,475,36,Overlay of asphalt over asphalt
424062055,['4'],424062,BONITA AVE,055,DELAWARE ST,SOUTH END,6480,2022-07-26,68,,,,,,Residential/Local,180,36,Overlay of asphalt over asphalt
111063010,['6'],111063,BONNIE LANE,010,HILLDALE AVE,MARIN AVE,15750,2022-07-07,56,2000-06-06,RECONSTRUCT STRUCTURE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,750,21,Asphalt
728064050,['7'],728064,BOWDITCH ST,050,BANCROFT WAY,DURANT AVE,11880,2022-07-28,14,1990-11-01,MILL AND THIN OVERLAY,31.0,1990.0,2 - Light Rehab,Residential/Local,330,36,Overlay of asphalt over asphalt
728064052,['7'],728064,BOWDITCH ST,052,DURANT AVE,HASTE ST,23760,2022-07-28,17,1990-11-01,MILL AND THIN OVERLAY,31.0,1990.0,2 - Light Rehab,Residential/Local,660,36,Overlay of asphalt over asphalt
728064056,['7'],728064,BOWDITCH ST,056,HASTE ST,DWIGHT WAY,11880,2022-07-28,40,1988-07-01,MILL AND OVERLAY W/FABRIC,34.0,1988.0,3 - Heavy Rehab,Residential/Local,330,36,Overlay of asphalt over asphalt
112065015,['5'],112065,BOYNTON AVE,015,COLORADO AVE,FLORIDA AVE,7280,2022-07-18,53,1993-07-01,RECONSTRUCT STRUCTURE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,280,26,Asphalt
112065010,['5'],112065,BOYNTON AVE (NB),010,ARLINGTON AVE,COLORADO AVE,24640,2022-07-18,42,1993-07-01,RECONSTRUCT STRUCTURE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,1540,16,Asphalt
112065011,['5'],112065,BOYNTON AVE (SB),011,COLORADO AVE,ARLINGTON AVE,24640,2022-07-18,38,,,,,,Residential/Local,1540,16,Asphalt
115068070,['6'],115068,BRET HARTE RD,070,KEITH AVE,CREGMONT AVE,6300,2022-07-08,60,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,300,21,Asphalt
115068075,['6'],115068,BRET HARTE RD,075,CRAGMONT AVE,KEELER AVE,16500,2022-07-08,73,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,750,22,Asphalt
638590070,['8'],638590,BRIDGE RD,070,ALVARADO RD,TUNNEL RD,10800,2022-07-20,92,2015-11-04,RECONSTRUCT,6.0,2015.0,4 - Reconstruct,Residential/Local,450,24,Asphalt
638070080,['8'],638070,BROOKSIDE AVE,080,CLAREMONT AVE,DEAD END (CLAREMONT AVE),11050,2022-07-20,94,2015-11-04,RECONSTRUCT,6.0,2015.0,4 - Reconstruct,Residential/Local,425,26,Asphalt
638071070,['8'],638071,BROOKSIDE CT,070,DEAD END NR BROOKSIDE DR,BROOKSIDE DR,2640,2022-07-20,94,2015-11-03,OVERLAY,6.0,2015.0,3 - Heavy Rehab,Residential/Local,110,24,Overlay of asphalt over asphalt
638072070,['8'],638072,BROOKSIDE DR,070,CLAREMONT AVE (N),CLAREMONT AVE (S),12840,2022-07-20,94,2015-11-03,OVERLAY,6.0,2015.0,3 - Heavy Rehab,Residential/Local,535,24,Overlay of asphalt over asphalt
931073052,['2'],931073,BROWNING ST,052,ADDISON ST,ALLSTON WAY,23760,2022-09-12,100,2022-09-12,RECONSTRUCT SURFACE (AC),-1.0,2022.0,4 - Reconstruct,Residential/Local,660,36,Asphalt
931073054,['2'],931073,BROWNING ST,054,ALLSTON WAY,DWIGHT WAY,71640,2022-09-12,100,2022-09-12,RECONSTRUCT STRUCTURE (AC),-1.0,2022.0,4 - Reconstruct,Residential/Local,1990,36,Asphalt
418074050,['5'],418074,BUENA AVE,050,WEST DEAD END (HOLLY ST),MCGEE AVE,33448,2022-07-19,91,2015-11-03,FDR,6.0,2015.0,3 - Heavy Rehab,Residential/Local,904,37,Asphalt
516075070,['6'],516075,BUENA VISTA WAY,070,EUCLID AVE,DEL MAR AVE,113250,2022-07-07,25,1994-06-01,MILL AND OVERLAY W/FABRIC,28.0,1994.0,3 - Heavy Rehab,Residential/Local,3775,30,Overlay of asphalt over asphalt
516075074,['6'],516075,BUENA VISTA WAY,074,DELMAR AVE,260' NORTH OF PRIVATE PROP,10340,2022-07-07,9,,,,,,Residential/Local,470,22,Overlay of asphalt over asphalt
516075078,['6'],516075,BUENA VISTA WAY,078,260' NORTH OF PRIVATE PROP,PRIVATE PROPERTY,3640,2022-07-07,8,1998-12-10,THIN AC OVERLAY(1.5 INCHES),23.0,1998.0,1 - Heavy Maintenance,Residential/Local,260,14,Overlay of asphalt over asphalt
933076040,['2'],933076,BURNETT ST,040,SAN PABLO AVE,MABEL ST,31464,2022-07-12,22,1988-11-01,SLURRY SEAL,33.0,1988.0,0 - Light Maintenance,Residential/Local,874,36,Overlay of asphalt over asphalt
933076042,['2'],933076,BURNETT ST,042,MABEL ST,ACTON ST,25344,2022-07-12,73,2019-09-20,SLURRY SEAL,2.0,2019.0,0 - Light Maintenance,Residential/Local,704,36,Overlay of asphalt over asphalt
931077050,['2'],931077,BYRON ST,050,ADDISON ST,BANCROFT WAY,47520,2022-07-13,80,2019-09-20,SLURRY SEAL,2.0,2019.0,0 - Light Maintenance,Residential/Local,1320,36,Overlay of asphalt over asphalt
931077055,['2'],931077,BYRON ST,055,CHANNING WAY,DWIGHT WAY,19800,2022-07-13,15,1992-10-01,MILL AND OVERLAY W/FABRIC,29.0,1992.0,3 - Heavy Rehab,Residential/Local,660,30,Overlay of asphalt over asphalt
418090020,['5'],418090,CALIFORNIA ST,020,HOPKINS ST,ADA ST,13800,2022-07-18,78,2003-11-06,RECONSTRUCT SURFACE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,345,40,Asphalt
418090030,['5'],418090,CALIFORNIA ST,030,ADA ST,CEDAR ST,63225,2022-07-21,61,2003-11-06,RECONSTRUCT SURFACE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,1405,45,Asphalt
423090040,['1'],423090,CALIFORNIA ST,040,CEDAR ST,OHLONE PARK,61110,2022-07-21,52,1997-07-21,MILL AND THICK OVERLAY,25.0,1997.0,3 - Heavy Rehab,Residential/Local,1455,42,Overlay of asphalt over asphalt
423090045,['1'],423090,CALIFORNIA ST,045,HEARST AVE,UNIVERSITY AVE,25200,2022-07-21,36,1997-07-11,MILL AND THICK OVERLAY,25.0,1997.0,3 - Heavy Rehab,Residential/Local,600,42,Overlay of asphalt over asphalt
830090050,['4'],830090,CALIFORNIA ST,050,UNIVERSITY AVE,DWIGHT WAY,144720,2022-07-12,70,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,3015,48,Overlay of asphalt over asphalt
834090060,['3'],834090,CALIFORNIA ST,060,DWIGHT WAY,OREGON ST,95340,2022-07-12,77,2011-05-10,RECONSTRUCT SURFACE (AC),11.0,2011.0,4 - Reconstruct,Residential/Local,2270,42,Asphalt
834090066,['3'],834090,CALIFORNIA ST,066,OREGON ST,ASHBY AVE,39900,2022-07-12,34,1994-10-01,MILL AND OVERLAY W/FABRIC,27.0,1994.0,3 - Heavy Rehab,Residential/Local,950,42,Overlay of asphalt over asphalt
